"Kód štátu";"Kód oblasti";"Názov štátu";"Názov oblasti";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;3209
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);140
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;7984
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou odborné;36784
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);úplné stredné vzdelanie s maturitou všeobecné;18490
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie (bližšie neuvedené);3
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);8448
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);2682
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);3037
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie (bližšie neuvedené);35
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);11458
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";89770
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";6982
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;produktívny vek (15-64 rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;358
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);nezistené;3329
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie (bližšie neuvedené);115
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 1. stupeň základnej školy;947
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);základné vzdelanie - 2. stupeň základnej školy;9788
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity a bez výučného listu (zaškolenie, zaučenie);2036
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s výučným listom;9382
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);stredné odborné (učňovské) vzdelanie bez maturity s vysvedčením o záverečnej skúške;2717
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);177
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;2271
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;14061
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;7171
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);2713
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);1389
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);1088
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);15
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);511
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";14747
SK0;SK01;Slovenská republika;Bratislavský kraj;žena;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";2454
