"Kód okresu";"Názov okresu";"Pohlavie";"Ekonomické vekové skupiny";"Vzdelanie";"abs."
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou (bližšie neuvedené);31
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné (učňovské) s výučným listom;457
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou odborné;1232
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);úplné stredné vzdelanie s maturitou všeobecné;316
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie nadstavbové (maturita absolventov učebných odborov stredných odborných škôl);316
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie pomaturitné (pomaturitné kvalifikačné);84
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);vyššie odborné vzdelanie vyššie odborné (absolventská skúška, absolventský diplom);155
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie (bližšie neuvedené);9
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);vysokoškolské vzdelanie - 1. stupeň (Bc.);79
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 2. stupeň (Ing.; Mgr.; MUDr.; a i.)";2711
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);"vysokoškolské vzdelanie - 3. stupeň (PhD.; a i.)";670
SK0102;Okres Bratislava II;muž;poproduktívny vek (65 a viac rokov);bez školského vzdelania – osoby vo veku 15 rokov a viac;5
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);nezistené;82
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 1. stupeň základnej školy;2299
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);základné vzdelanie - 2. stupeň základnej školy;10
SK0102;Okres Bratislava II;žena;predproduktívny vek (0-14 rokov);bez ukončeného vzdelania – osoby vo veku 0-14 rokov;6973
